case:Project,concept:name,time:timestamp
project 147556,Payment Handled,2018-02-26 17:31:27+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-02-19 13:19:31+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-02-19 13:19:39+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-03-05 15:05:08+00:00
project 147556,Request Payment,2018-03-06 09:00:28+00:00
project 147556,Payment Handled,2018-03-08 17:31:00+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-02-19 13:49:44+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-02-19 13:50:27+00:00
project 147556,Request For Payment APPROVED by BUDGET OWNER,2018-02-19 14:15:14+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-22 10:39:14+00:00
project 147556,Request Payment,2018-02-22 15:10:58+00:00
project 147556,Payment Handled,2018-02-26 17:31:27+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-02-19 13:51:12+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-02-19 13:51:21+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-19 15:47:06+00:00
project 503,Request Payment,2018-02-20 08:28:52+00:00
project 503,Payment Handled,2018-02-22 17:30:41+00:00
project 147649,Request For Payment SUBMITTED by EMPLOYEE,2018-02-19 14:01:21+00:00
project 147649,Request For Payment APPROVED by ADMINISTRATION,2018-02-19 14:13:54+00:00
project 147649,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-21 15:01:16+00:00
project 147649,Request Payment,2018-02-23 11:31:44+00:00
project 147649,Payment Handled,2018-02-26 17:31:27+00:00
project 148052,Request For Payment SUBMITTED by EMPLOYEE,2018-02-19 14:35:07+00:00
project 148052,Request For Payment APPROVED by ADMINISTRATION,2018-02-19 14:35:15+00:00
project 148052,Request For Payment APPROVED by BUDGET OWNER,2018-02-19 14:38:30+00:00
project 148052,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-21 10:27:54+00:00
project 148052,Request Payment,2018-02-22 09:14:46+00:00
project 148052,Payment Handled,2018-02-26 17:31:27+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-02-19 14:50:28+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-02-19 14:50:45+00:00
project 503,Request For Payment APPROVED by BUDGET OWNER,2018-02-19 15:24:01+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-25 10:33:31+00:00
project 503,Request Payment,2018-02-27 11:43:22+00:00
project 503,Payment Handled,2018-03-01 17:31:26+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-02-19 14:50:56+00:00
project 503,Request For Payment REJECTED by ADMINISTRATION,2018-02-19 14:51:02+00:00
project 503,Request For Payment REJECTED by EMPLOYEE,2018-02-19 15:31:21+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 15:17:20+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 15:17:27+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-21 16:01:12+00:00
project 503,Request Payment,2018-02-23 12:27:36+00:00
project 503,Payment Handled,2018-02-26 17:31:27+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-02-19 14:52:51+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-02-19 14:52:59+00:00
project 503,Request For Payment APPROVED by BUDGET OWNER,2018-02-19 15:23:35+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-25 10:33:31+00:00
project 503,Request Payment,2018-02-27 11:43:10+00:00
project 503,Payment Handled,2018-03-01 17:31:26+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-02-19 15:30:46+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-02-19 15:31:16+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-21 11:10:15+00:00
project 503,Request Payment,2018-02-21 13:51:40+00:00
project 503,Payment Handled,2018-02-26 17:31:27+00:00
project 147701,Request For Payment SUBMITTED by EMPLOYEE,2018-02-19 16:06:45+00:00
project 147701,Request For Payment APPROVED by ADMINISTRATION,2018-02-19 16:06:53+00:00
project 147701,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-20 08:00:43+00:00
project 147701,Request Payment,2018-02-22 15:09:55+00:00
project 147701,Payment Handled,2018-02-26 17:31:27+00:00
project 147551,Request For Payment SUBMITTED by EMPLOYEE,2018-02-20 04:49:22+00:00
project 147551,Request For Payment APPROVED by ADMINISTRATION,2018-02-20 04:51:06+00:00
project 147551,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-21 13:52:25+00:00
project 147551,Request Payment,2018-02-21 13:57:23+00:00
project 147551,Payment Handled,2018-02-26 17:31:27+00:00
project 149069,Request For Payment SUBMITTED by EMPLOYEE,2018-02-20 08:16:23+00:00
project 149069,Request For Payment APPROVED by ADMINISTRATION,2018-02-20 08:16:36+00:00
project 149069,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-21 10:09:49+00:00
project 149069,Request Payment,2018-02-22 09:34:13+00:00
project 149069,Payment Handled,2018-02-26 17:31:27+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-02-20 09:10:57+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-02-20 09:10:59+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-21 13:50:38+00:00
project 147556,Request Payment,2018-02-22 08:27:59+00:00
project 147556,Payment Handled,2018-02-26 17:31:27+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-02-20 09:16:25+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-02-20 09:16:27+00:00
project 147556,Request For Payment APPROVED by BUDGET OWNER,2018-02-21 13:50:10+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-22 08:27:58+00:00
project 147556,Request Payment,2018-02-27 08:23:28+00:00
project 147556,Payment Handled,2018-03-01 17:31:26+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-02-20 09:41:01+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-02-20 09:41:14+00:00
project 147556,Request For Payment APPROVED by BUDGET OWNER,2018-02-20 12:55:20+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-20 17:09:39+00:00
project 147556,Request Payment,2018-02-22 09:49:26+00:00
project 147556,Payment Handled,2018-02-26 17:31:27+00:00
project 152282,Request For Payment SUBMITTED by EMPLOYEE,2018-02-20 10:03:31+00:00
project 152282,Request For Payment APPROVED by ADMINISTRATION,2018-02-20 10:03:59+00:00
project 152282,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-20 13:16:09+00:00
project 152282,Request Payment,2018-02-22 17:21:09+00:00
project 152282,Payment Handled,2018-02-26 17:31:27+00:00
project 147572,Request For Payment SUBMITTED by EMPLOYEE,2018-02-20 10:03:38+00:00
project 147572,Request For Payment APPROVED by ADMINISTRATION,2018-02-20 10:03:42+00:00
project 147572,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-21 12:17:26+00:00
project 147572,Request Payment,2018-02-21 13:51:38+00:00
project 147572,Payment Handled,2018-02-26 17:31:27+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-02-20 10:20:55+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-02-20 10:21:08+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-21 12:16:22+00:00
project 503,Request Payment,2018-03-07 12:16:27+00:00
project 503,Payment Handled,2018-03-08 17:31:00+00:00
project 147572,Request For Payment SUBMITTED by EMPLOYEE,2018-02-20 10:49:11+00:00
project 147572,Request For Payment APPROVED by ADMINISTRATION,2018-02-20 10:49:22+00:00
project 147572,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-20 12:04:15+00:00
project 147572,Request Payment,2018-02-20 15:50:43+00:00
project 147572,Payment Handled,2018-02-22 17:30:41+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-02-20 11:33:46+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-02-20 11:33:52+00:00
project 503,Request For Payment APPROVED by BUDGET OWNER,2018-02-20 12:06:25+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-21 14:52:21+00:00
project 503,Request Payment,2018-02-22 12:41:40+00:00
project 503,Payment Handled,2018-02-26 17:31:27+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-02-20 11:37:33+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-02-20 11:37:41+00:00
project 147556,Request For Payment APPROVED by BUDGET OWNER,2018-02-20 13:06:39+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-27 05:15:44+00:00
project 147556,Request Payment,2018-02-27 10:24:39+00:00
project 147556,Payment Handled,2018-03-01 17:31:26+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2018-02-20 11:46:14+00:00
project 147546,Request For Payment APPROVED by ADMINISTRATION,2018-02-20 11:46:55+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-20 16:33:46+00:00
project 147546,Request Payment,2018-02-21 14:42:09+00:00
project 147546,Payment Handled,2018-02-26 17:31:27+00:00
project 155217,Request For Payment SUBMITTED by EMPLOYEE,2018-02-20 15:43:13+00:00
project 155217,Request For Payment APPROVED by ADMINISTRATION,2018-02-20 15:43:20+00:00
project 155217,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-21 12:51:48+00:00
project 155217,Request Payment,2018-03-27 15:32:07+00:00
project 155217,Payment Handled,2018-03-29 17:31:11+00:00
project 148052,Request For Payment SUBMITTED by EMPLOYEE,2018-02-20 15:59:05+00:00
project 148052,Request For Payment APPROVED by ADMINISTRATION,2018-02-20 15:59:16+00:00
project 148052,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-21 15:10:27+00:00
project 148052,Request Payment,2018-02-22 08:17:04+00:00
project 148052,Payment Handled,2018-02-26 17:31:27+00:00
project 154071,Request For Payment SUBMITTED by EMPLOYEE,2018-02-20 16:11:40+00:00
project 154071,Request For Payment APPROVED by ADMINISTRATION,2018-02-20 16:13:36+00:00
project 154071,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-21 15:09:39+00:00
project 154071,Request Payment,2018-02-22 09:49:24+00:00
project 154071,Payment Handled,2018-02-26 17:31:27+00:00
project 150360,Request For Payment SUBMITTED by EMPLOYEE,2018-02-20 16:51:17+00:00
project 150360,Request For Payment APPROVED by ADMINISTRATION,2018-02-20 16:53:38+00:00
project 150360,Request For Payment APPROVED by BUDGET OWNER,2018-02-23 15:34:56+00:00
project 150360,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-03-02 05:15:23+00:00
project 150360,Request Payment,2018-03-07 12:09:32+00:00
project 150360,Payment Handled,2018-03-08 17:31:00+00:00
project 148309,Request For Payment SUBMITTED by EMPLOYEE,2018-02-20 16:57:12+00:00
project 148309,Request For Payment APPROVED by ADMINISTRATION,2018-02-20 16:57:15+00:00
project 148309,Request For Payment APPROVED by BUDGET OWNER,2018-02-23 15:33:44+00:00
project 148309,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-03-02 05:15:23+00:00
project 148309,Request Payment,2018-03-07 12:09:30+00:00
project 148309,Payment Handled,2018-03-08 17:31:00+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2018-02-20 17:33:59+00:00
project 147546,Request For Payment APPROVED by ADMINISTRATION,2018-02-20 17:35:22+00:00
project 147546,Request For Payment APPROVED by BUDGET OWNER,2018-02-21 10:42:50+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-21 17:17:19+00:00
project 147546,Request Payment,2018-02-22 15:10:43+00:00
project 147546,Payment Handled,2018-02-26 17:31:27+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2018-02-20 17:46:47+00:00
project 147546,Request For Payment APPROVED by ADMINISTRATION,2018-02-20 17:48:49+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-22 07:34:30+00:00
project 147546,Request Payment,2018-02-26 16:22:09+00:00
project 147546,Payment Handled,2018-03-01 17:31:26+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-02-20 20:22:46+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-02-20 20:36:57+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-22 09:33:22+00:00
project 503,Request Payment,2018-02-22 11:39:19+00:00
project 503,Payment Handled,2018-02-26 17:31:27+00:00
project 147701,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 08:22:33+00:00
project 147701,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 08:22:47+00:00
project 147701,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-03-21 10:28:21+00:00
project 147701,Request Payment,2018-03-22 09:33:59+00:00
project 147701,Payment Handled,2018-03-26 17:31:14+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 08:36:05+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 08:36:59+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-26 09:16:39+00:00
project 147556,Request Payment,2018-02-27 12:36:23+00:00
project 147556,Payment Handled,2018-03-01 17:31:26+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 09:02:41+00:00
project 147546,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 09:02:50+00:00
project 147546,Request For Payment APPROVED by BUDGET OWNER,2018-03-05 15:05:34+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-03-06 09:20:33+00:00
project 147546,Request Payment,2018-03-09 05:34:30+00:00
project 147546,Payment Handled,2018-03-12 17:31:16+00:00
project 147551,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 09:31:37+00:00
project 147551,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 09:31:49+00:00
project 147551,Request For Payment APPROVED by BUDGET OWNER,2018-02-21 10:23:14+00:00
project 147551,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-22 08:44:17+00:00
project 147551,Request Payment,2018-02-27 08:32:53+00:00
project 147551,Payment Handled,2018-03-01 17:31:26+00:00
project 153324,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 09:39:22+00:00
project 153324,Request For Payment APPROVED by ADMINISTRATION,2018-04-09 15:18:17+00:00
project 153324,Request For Payment APPROVED by BUDGET OWNER,2018-04-11 14:33:26+00:00
project 153324,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-04-18 05:15:19+00:00
project 153324,Request Payment,2018-04-19 10:51:04+00:00
project 153324,Payment Handled,2018-04-23 17:31:12+00:00
project 153324,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 09:44:27+00:00
project 153324,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 09:44:32+00:00
project 153324,Request For Payment APPROVED by BUDGET OWNER,2018-02-21 15:08:42+00:00
project 153324,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-28 05:15:36+00:00
project 153324,Request Payment,2018-03-01 11:02:04+00:00
project 153324,Payment Handled,2018-03-05 17:30:58+00:00
project 153324,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 09:49:13+00:00
project 153324,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 09:53:43+00:00
project 153324,Request For Payment APPROVED by BUDGET OWNER,2018-02-21 15:07:43+00:00
project 153324,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-28 05:15:36+00:00
project 153324,Request Payment,2018-03-01 08:49:48+00:00
project 153324,Payment Handled,2018-03-05 17:30:58+00:00
UNKNOWN,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 10:08:44+00:00
UNKNOWN,Request For Payment REJECTED by ADMINISTRATION,2018-02-21 10:10:10+00:00
UNKNOWN,Request For Payment REJECTED by EMPLOYEE,2018-02-23 15:50:03+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 10:15:13+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 10:19:41+00:00
project 503,Request For Payment APPROVED by BUDGET OWNER,2018-02-23 15:48:58+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-26 20:30:06+00:00
project 503,Request Payment,2018-02-27 11:04:56+00:00
project 503,Payment Handled,2018-03-01 17:31:26+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 10:20:16+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 10:20:20+00:00
project 503,Request For Payment APPROVED by BUDGET OWNER,2018-02-23 15:48:38+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-26 20:28:28+00:00
project 503,Request Payment,2018-02-26 20:28:30+00:00
project 503,Payment Handled,2018-03-01 17:31:26+00:00
UNKNOWN,Request For Payment SAVED by EMPLOYEE,2018-02-21 10:23:38+00:00
project 147620,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 11:03:19+00:00
project 147620,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 11:03:23+00:00
project 147620,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-26 09:17:50+00:00
project 147620,Request Payment,2018-03-01 03:08:13+00:00
project 147620,Payment Handled,2018-03-05 17:30:58+00:00
project 147701,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 11:07:14+00:00
project 147701,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 11:07:17+00:00
project 147701,Request For Payment APPROVED by BUDGET OWNER,2018-02-26 09:18:34+00:00
project 147701,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-03-01 03:07:50+00:00
project 147701,Request Payment,2018-03-01 14:10:34+00:00
project 147701,Payment Handled,2018-03-05 17:30:58+00:00
project 153324,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 11:08:04+00:00
project 153324,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 11:12:38+00:00
project 153324,Request For Payment APPROVED by BUDGET OWNER,2018-02-21 15:07:58+00:00
project 153324,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-28 05:15:36+00:00
project 153324,Request Payment,2018-02-28 14:02:57+00:00
project 153324,Payment Handled,2018-03-01 17:31:26+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 11:26:37+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 11:27:07+00:00
project 503,Request For Payment APPROVED by BUDGET OWNER,2018-02-23 09:53:35+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-26 18:23:17+00:00
project 503,Request Payment,2018-03-01 08:51:19+00:00
project 503,Payment Handled,2018-03-05 17:30:58+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 11:28:37+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 11:29:04+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-21 12:19:10+00:00
project 503,Request Payment,2018-02-22 09:10:27+00:00
project 503,Payment Handled,2018-02-26 17:31:27+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 11:30:00+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 11:30:05+00:00
project 503,Request For Payment APPROVED by BUDGET OWNER,2018-02-23 09:53:00+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-26 18:23:17+00:00
project 503,Request Payment,2018-03-01 08:51:18+00:00
project 503,Payment Handled,2018-03-05 17:30:58+00:00
project 148216,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 11:31:12+00:00
project 148216,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 11:33:18+00:00
project 148216,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-22 09:25:07+00:00
project 148216,Request Payment,2018-02-27 08:30:15+00:00
project 148216,Payment Handled,2018-03-01 17:31:26+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 11:37:37+00:00
project 147546,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 11:41:05+00:00
project 147546,Request For Payment APPROVED by BUDGET OWNER,2018-02-23 15:30:53+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-27 07:53:19+00:00
project 147546,Request Payment,2018-02-27 19:05:13+00:00
project 147546,Payment Handled,2018-03-01 17:31:26+00:00
project 152803,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 12:16:33+00:00
project 152803,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 21:24:16+00:00
project 152803,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-26 17:14:37+00:00
project 152803,Request Payment,2018-02-27 02:55:34+00:00
project 152803,Payment Handled,2018-03-01 17:31:26+00:00
project 153324,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 13:00:11+00:00
project 153324,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 13:02:28+00:00
project 153324,Request For Payment APPROVED by BUDGET OWNER,2018-02-21 15:08:11+00:00
project 153324,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-28 05:15:36+00:00
project 153324,Request Payment,2018-02-28 14:03:21+00:00
project 153324,Payment Handled,2018-03-01 17:31:26+00:00
project 147843,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 13:39:00+00:00
project 147843,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 13:42:54+00:00
project 147843,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-22 08:24:55+00:00
project 147843,Request Payment,2018-02-26 13:19:43+00:00
project 147843,Payment Handled,2018-03-01 17:31:26+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 13:51:12+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 13:51:24+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-21 13:53:39+00:00
project 503,Request Payment,2018-03-02 13:26:50+00:00
project 503,Payment Handled,2018-03-05 17:30:58+00:00
project 147649,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 14:03:30+00:00
project 147649,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 14:06:27+00:00
project 147649,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-03-05 13:19:27+00:00
project 147649,Request Payment,2018-03-06 14:08:29+00:00
project 147649,Payment Handled,2018-03-08 17:31:00+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 14:41:17+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 14:41:21+00:00
project 503,Request For Payment APPROVED by BUDGET OWNER,2018-02-23 15:26:10+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-27 13:42:25+00:00
project 503,Request Payment,2018-02-27 14:00:46+00:00
project 503,Payment Handled,2018-03-01 17:31:26+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 15:58:30+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 15:58:38+00:00
project 503,Request For Payment APPROVED by BUDGET OWNER,2018-02-26 16:56:50+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-27 09:18:10+00:00
project 503,Request Payment,2018-03-01 03:07:29+00:00
project 503,Payment Handled,2018-03-05 17:30:58+00:00
project 147531,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 16:27:38+00:00
project 147531,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 16:27:55+00:00
project 147531,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-22 16:16:40+00:00
project 147531,Request Payment,2018-02-27 08:47:44+00:00
project 147531,Payment Handled,2018-03-01 17:31:26+00:00
project 147843,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 16:35:58+00:00
project 147843,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 16:36:41+00:00
project 147843,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-22 09:22:43+00:00
project 147843,Request Payment,2018-02-22 17:26:04+00:00
project 147843,Payment Handled,2018-02-26 17:31:27+00:00
project 153324,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 16:40:08+00:00
project 153324,Request For Payment APPROVED by ADMINISTRATION,2018-03-16 16:18:37+00:00
project 153324,Request For Payment APPROVED by BUDGET OWNER,2018-03-20 10:41:52+00:00
project 153324,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-03-23 12:57:49+00:00
project 153324,Request Payment,2018-03-27 12:22:57+00:00
project 153324,Payment Handled,2018-03-29 17:31:11+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 16:45:19+00:00
project 147546,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 16:46:09+00:00
project 147546,Request For Payment APPROVED by BUDGET OWNER,2018-02-22 16:53:17+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-28 15:11:25+00:00
project 147546,Request Payment,2018-03-05 10:33:19+00:00
project 147546,Payment Handled,2018-03-08 17:31:00+00:00
project 147701,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 16:52:04+00:00
project 147701,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 16:52:09+00:00
project 147701,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-22 09:35:12+00:00
project 147701,Request Payment,2018-02-22 09:52:14+00:00
project 147701,Payment Handled,2018-02-26 17:31:27+00:00
project 148309,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 17:26:20+00:00
project 148309,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 17:26:39+00:00
project 148309,Request For Payment APPROVED by BUDGET OWNER,2018-02-23 15:28:47+00:00
project 148309,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-03-02 05:15:23+00:00
project 148309,Request Payment,2018-03-06 07:52:53+00:00
project 148309,Payment Handled,2018-03-08 17:31:00+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 18:01:05+00:00
project 147556,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 18:01:17+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-26 11:54:21+00:00
project 147556,Request Payment,2018-02-27 08:41:45+00:00
project 147556,Payment Handled,2018-03-01 17:31:26+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 19:15:07+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 19:15:10+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-23 15:27:14+00:00
project 503,Request Payment,2018-02-27 07:53:19+00:00
project 503,Payment Handled,2018-03-01 17:31:26+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-02-21 20:49:09+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-02-21 20:49:17+00:00
project 503,Request For Payment APPROVED by BUDGET OWNER,2018-02-22 16:26:02+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-28 10:19:39+00:00
project 503,Request Payment,2018-02-28 10:19:41+00:00
project 503,Payment Handled,2018-03-01 17:31:26+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2018-02-22 07:56:42+00:00
project 503,Request For Payment APPROVED by ADMINISTRATION,2018-02-22 08:00:11+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-26 17:09:36+00:00
project 503,Request Payment,2018-02-27 14:13:00+00:00
project 503,Payment Handled,2018-03-01 17:31:26+00:00
